ספק ראשי,קוד פריט,,ספירה מעודכנת,תאור פריט,עלות 
DAPRA,APET120408-DMK25,,10,לוחית כרסום ,0
DAPRA,DSS-1208-D-DMK30-IN,,10,לוחית כרסום ,0
DAPRA,DSS-1208-D-DMK35-HM,,30,לוחית כרסום ,0
DAPRA,DSS-1208-T-DMK35-IN,,30,לוחית כרסום ,0
DAPRA,DSS-1208-T-DMP25-HM,,30,לוחית כרסום ,0
DAPRA,DSS-1216-D-DMK30-IN,,10,לוחית כרסום ,0
DAPRA,DSS-1216-D-DMK35-IN,,10,לוחית כרסום ,0
DAPRA,DSSEM-1000-MOD-D45-3C,,1,כרסום ,0
DAPRA,DSSEM-1250-MOD-D45-4C,,1,כרסום ,0
DAPRA,DTB-12-D-DMK30,,10,לוחית כרסום ,0
DAPRA,DTB-12-D-DMK35-IN,,10,לוחית כרסום ,0
DAPRA,DTB-12-T-DMP25,,10,לוחית כרסום ,0
DAPRA,RF-1-D-DMP25,,20,לוחית כרסום ,0
DAPRA,RF-10-DMK35-IN,,10,לוחית כרסום ,0
DAPRA,SSEM-1000-MOD-D45-3C,,1,כרסום ,0
DAPRA,SSEM-1250-MOD-D45-4C,,1,כרסום ,0
DAPRA,SSEM-25-25-R55-2,,2,כרסום ,0
DAPRA,XPET100316-ALU-DMK25,,20,לוחית כרסום ,0
DAPRA,XPET120408-ALU-DMK25,,30,לוחית כרסום ,0
DAPRA,XPET120408-DMK35-IN,,20,לוחית כרסום ,0
DAPRA,XPET120408-DMK35-IN,,10,לוחית כרסום ,0
DAPRA,XPET120408-DMP35-HM,,30,לוחית כרסום ,0
DAPRA,XPET120416-DMK35-IN,,20,לוחית כרסום ,0
DAPRA,XPET120416-DMP35-HM,,20,לוחית כרסום ,0
DAPRA,XPET120416-DMP35-HM,,10,לוחית כרסום ,0
DAPRA,XPET120431-DMP35-HM,,20,לוחית כרסום ,0
DAPRA,XPET160404-ALU-DMK25,,60,לוחית כרסום ,0
DAPRA,XPET160408-ALU-DMK25,,50,לוחית כרסום ,0
DAPRA,XPET160408-DMK35-IN,,30,לוחית כרסום ,0
DAPRA,XPET160412-ALU-DMK25,,30,לוחית כרסום ,0
DAPRA,XPET160416-ALU-DMK25,,50,לוחית כרסום ,0
DAPRA,XPET160416-ALU-DMK25-GLH,,10,לוחית כרסום ,0
DAPRA,XPET160416-DMK35-IN,,10,לוחית כרסום ,0
DAPRA,XPET160424-DMP35-GLH,,10,לוחית כרסום ,0
DAPRA,XPET160431-ALU-DMK25,,30,לוחית כרסום ,0
DAPRA,XPET160431-DMP35-GLH,,10,לוחית כרסום ,0